Film,Genre,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year,Decade,isIndependent,Critic-Audience Gap Rating,ROI_Category,Profitability_winsorized,Worldwide Gross_winsorized
License to Wed,Comedy,Warner Bros.,55.0,1.9802064,8.0,69.31,2007,2000s,Major Studio,Favored by audience,Low,1.9802064,69.31
Letters to Juliet,Comedy,Summit,62.0,2.639333333,40.0,79.18,2010,2010s,Major Studio,Favored by audience,Medium,2.639333333,79.18
Leap Year,Unknown,Universal,49.0,1.715263158,21.0,32.59,2010,2010s,Major Studio,Favored by audience,Low,1.715263158,32.59
Knocked Up,Comedy,Universal,83.0,6.636401848,91.0,219.0,2007,2000s,Major Studio,Favored by critics,High,6.636401848,219.0
Killers,Action,Lionsgate,45.0,1.245333333,11.0,93.4,2010,2010s,Major Studio,Favored by audience,Low,1.245333333,93.4
Just Wright,Comedy,Fox,58.0,1.797416667,45.0,21.57,2010,2010s,Major Studio,Favored by audience,Low,1.797416667,21.57
Jane Eyre,Romance,Universal,77.0,0.0,85.0,30.15,2011,2010s,Major Studio,Favored by critics,Low,0.17852643,30.15
It's Complicated,Comedy,Universal,63.0,2.642352941,56.0,224.6,2009,2000s,Major Studio,Favored by audience,Medium,2.642352941,224.6
I Love You Phillip Morris,Comedy,Independent,57.0,1.34,71.0,20.1,2010,2010s,Independent,Favored by critics,Low,1.34,20.1
High School Musical 3: Senior Year,Comedy,Disney,76.0,22.91313646,65.0,252.04,2008,2000s,Major Studio,Favored by audience,High,10.452941370999998,252.04
He's Just Not That Into You,Comedy,Warner Bros.,60.0,7.1536,42.0,178.84,2009,2000s,Major Studio,Favored by audience,High,7.1536,178.84
Good Luck Chuck,Comedy,Lionsgate,61.0,2.36768512,3.0,59.19,2007,2000s,Major Studio,Favored by audience,Medium,2.36768512,59.19
Going the Distance,Comedy,Warner Bros.,56.0,1.3140625,53.0,42.05,2010,2010s,Major Studio,Favored by audience,Low,1.3140625,42.05
Gnomeo and Juliet,Animation,Disney,52.0,2.1308556875,56.0,193.97,2011,2010s,Major Studio,Favored by critics,Medium,2.1308556875,193.97
Ghosts of Girlfriends Past,Comedy,Warner Bros.,47.0,2.0444,27.0,102.22,2009,2000s,Major Studio,Favored by audience,Medium,2.0444,102.22
Four Christmases,Comedy,Warner Bros.,52.0,2.022925,26.0,161.83,2008,2000s,Major Studio,Favored by audience,Medium,2.022925,161.83
Fireproof,Drama,Independent,51.0,66.934,40.0,33.47,2008,2000s,Independent,Favored by audience,High,10.452941370999998,33.47
Enchanted,Comedy,Disney,80.0,4.005737082,93.0,340.49,2007,2000s,Major Studio,Favored by critics,High,4.005737082,340.49
Dear John,Drama,Sony,66.0,4.5988,29.0,114.97,2010,2010s,Major Studio,Favored by audience,High,4.5988,114.97
Beginners,Comedy,Independent,80.0,4.471875,84.0,14.31,2011,2010s,Independent,Favored by critics,High,4.471875,14.31
Across the Universe,Romance,Independent,84.0,0.652603178,54.0,29.37,2007,2000s,Independent,Favored by audience,Low,0.652603178,29.37
A Serious Man,Drama,Universal,64.0,2.598205128,89.0,30.68,2009,2000s,Major Studio,Favored by critics,Medium,2.598205128,30.68
A Dangerous Method,Drama,Independent,89.0,0.44864475,79.0,8.97,2011,2010s,Independent,Favored by audience,Low,0.44864475,13.227
27 Dresses,Comedy,Fox,71.0,5.3436218,40.0,160.31,2008,2000s,Major Studio,Favored by audience,High,5.3436218,160.31
(500) Days of Summer,Comedy,Fox,81.0,8.096,87.0,60.72,2009,2000s,Major Studio,Favored by critics,High,8.096,60.72
